Variable ID,Variable name,Variable synonyms,Trait name,Main trait abbreviation,Alternative trait abbreviations,Scale name,Trait description
,StdEst_E_1to5,,Stand establishment,StdEst,,,Measurement of plant emergence and vigor in the field.
,CGR_Calc_gm2day_preA,,Crop growth rate during the pre-anthesis period,,,,
,CGR_Calc_gm2day_InB7DAA,,Crop growth rate from initiation of booting to anthesis,,,,
,CGR_Calc_gm2day_GFP,,Crop growth rate during the grain filling period,,,,
,SLA_M_mm2mg1,,Specific leaf area,,,,
,SLW_M_mgmm2,,Specific leaf weight,,,,
,LDW_M_pct,,Percentage of leaf dry weight,,,,
,Trmmol_M_mmolH2Om2s1,,Transpiration rate,,,,
,VpdL_M_kPa,,Vapour partial deficit,,,,
,qP_M_Idx,,Photochemical quenching,,,,
,qN_M_Idx,,Non-photochemical quenching,,,,
,Tleaf_M_C,,Leaf temperature,,,,
,RHR_M_pct,,Relative humidity of the reference in IRGAS,,,,
,RHS_M_pct,,Relative humidity of the sample in IRGAS,,,,
,LI_M_pct_40DAE,,Canopy light interception at forty days after emergence,,,,
,LI_M_pct_InB,,Canopy light interception at initiation of booting,,,,
,LI_M_pct_7DAA,,Canopy light interception at seven days after anthesis,,,,
,LI_M_pct_Spk_7DAA,,Canopy light interception at the spike level seven days after anthesis,,,,
,LI_M_pct_FL_7DAA,,Canopy light interception at the flag leaf level seven days after anthesis,,,,
,LI_M_pct_L2_7DAA,,Canopy light interception at the leaf 2 level seven days after anthesis,,,,
,LI_M_pct_L3_7DAA,,Canopy light interception at the leaf 3 level seven days after anthesis,,,,
,RUE_Calc_gMJ_GF1,,Radiation use efficiency during the first half of grain filling,,,,
,RUE_Calc_gMJ_GF2,,Radiation use efficiency during the second half of grain filling,,,,
,FLeafDW_M_mg,,Flag leaf lamina fresh weight,,,,
,FLeafFW_M_mg,,Flag leaf lamina dry weight,,,,
,LRollSev_E_1to10,,,,,,
