Variable ID,Variable name,Variable synonyms,Trait name,Main trait abbreviation,Alternative trait abbreviations,Scale name,Trait description
CO_321:0001095,CTD_Calc_C,CTD_C,Canopy temperature depression,CTD,,°C,Difference between ambient temperature and canopy temperature.
CO_321:0001096,WI_M_Idx,WI_index,Canopy water index,WI,,index,"Water index use reflectance at 970 nm as a wavelength sensitive to water content, while reflectance at 900 nm is taken as a reference which is similarly affected by canopy and leaf structures but with null absorption by water."
CO_321:0001097,ColdTol_E_pct,COLDTOL_pct,Cold tolerance,ColdTol,"COLDTOL, CLDTOL",%,Plant tolerance to lower temperatures than the optimum.
CO_321:0001098,ColdTol_E_1to5,COLDTOL_1_5,Cold tolerance,ColdTol,"COLDTOL, CLDTOL",1-5 TOL scale,Plant tolerance to lower temperatures than the optimum.
CO_321:0001099,ColeopLng_M_cm,COLEOPLNG _cm,Coleoptile length,ColeopLng,,cm,Length of coleoptile (a protective sheath that surrounds the shoot tip and the embryonic leaves of the young shoot of grasses).
CO_321:0001100,TilSpSpkInc_E_pct,TILSP_pct,Common bunt spike incidence,TilSpSpkInc,"CBSpkInc, TILSP, CB",%,"Common bunt (stinking bunt, covered smut, hill bunt, complete bunt, low bunt, high bunt) incidence in the plants caused by the agent Tilletia species."
CO_321:0001101,RootRot_E_0to9pct,ROOTROT_0_9,Common root rot incidence,RootRot,,0-9 percentage scale,"Common root rot incidence in the plants caused by the agents Cochliobolus sativus, fusarium spp., and Pythium species."
CO_321:0001102,CookSdF_M_Idx,COKSDF_index,Cookie spread factor,CookSdF,COKSDF,index,The ratio between average height and width of cookies.
CO_321:0001103,GrndCov_GS15_pct,GRNDCOV_pct__GS15,Crop ground cover,GrndCov,"GRNDCOV, GC",%,"Crop ground cover, or the percentage of soil surface covered by plant foliage."
CO_321:0001104,GrndCov_M_pct,GRNDCOV_pct,Crop ground cover,GrndCov,"GRNDCOV, GC",%,"Crop ground cover, or the percentage of soil surface covered by plant foliage."
CO_321:0001106,HavenDmg_E_pct,HAVEN_pct,Cyst nematode damage,HavenDmg,"CCNDmg, HAVEN, CCN",%,"The wheat cyst nematode damage caused by cyst nematode, Heterodera avenae."
CO_321:0001107,DRidge_date_ymd,"DRD_yyyymmdd, DRD",Double ridge time,DRidge,DR,yyyymmdd,Double ridge time is just when apex changes from the vegetative to the reproductive stage.
CO_321:0001108,DRidge_dto_day,"DTDR_days, DR, DTDR",Double ridge time,DRidge,DR,day,Double ridge time is just when apex changes from the vegetative to the reproductive stage.
CO_321:0001109,AlvIe_Calc_pct,ALVIe_pct,Dough alveograph extensibility index,AlvIe,,%,It is the extensibility index of the dough. (p200/p)*100; p200: pressure (p) at 4 cm (l= 40mm) of the curve.
CO_321:0001110,AlvPG_Calc_Idx,ALVPG_index,Dough alveograph P/G,AlvPG,,index,It is the p/g ratio.
CO_321:0001111,AlvPL_Calc_Idx,ALVPL_index,Dough alveograph P/L,AlvPL,,index,Ratio of tenacity (p; maximum pressure required for the deformation of the sample) and extensibility (l; length of the curve) of dough.
CO_321:0001112,AlvG_M_mm,AVLG_mm,Dough alveograph value G,AlvG,,mm,G stands for the square root of the volume of air in the bubble that was possible before the bubble burst. shows how flexible the dough was during the test.
CO_321:0001113,AlvL_M_mm,ALVL_mm,Dough alveograph value L,AlvL,,mm,L value is the extensibility of the dough before the bubble breaks. it is indicated by the length of the curve.
CO_321:0001114,AlvP_M_mm,ALVP_mm,Dough alveograph value P,AlvP,,mm,P value is the force required to blow the bubble of dough. it is indicated by the maximum height of the curve. 
CO_321:0001115,AlvW_M_joules,ALVW_joules,Dough alveograph value W,AlvW,,joules,Dough strength by alveograph. W value is the area under the curve. it is a combination of dough strength (p value) and extensibility (l value). 
CO_321:0001116,MixTim_M_min,MIXTIM_min,Dough Mixograph mixing time,MixTim,,min,Time required for the dough development from beginning of mixing flour and water to the dough reaches maximum consistency (peak).
CO_321:0001117,MixTq_M_pctmin,MIXTQ_pct_min,Dough mixograph torque,MixTq,,%/min,It is the torque measured during the mixograph test.
CO_321:0001118,MixTyp_E_1to6,MIXTYP_1_6,Dough mixograph type,MixTyp,,1-6 MIXTYP scale,Mixograph type (mixograph curve) is used for determining the strength of dough.
CO_321:0001119,DroughtTol_E_pct,DROUGHTTOL_pct,Drought tolerance,DroughtTol,,%,Plant tolerance to drought conditions.
CO_321:0001120,DroughtTol_E_1to5,DROUGHTTOL_1_5,Drought tolerance,DroughtTol,,1-5 TOL scale,Plant tolerance to drought conditions.
CO_321:0001121,TcontInc_E_pct,TCONT_pct,Dwarf bunt incidence,TcontInc,TCONT,%,Dwarf bunt incidence in the plants caused by the agent Tilletia controversa.
CO_321:0001122,Emer_date_ymd,"EMERD_yyyymmdd, EMERD, EDATE, EMERDATE, Emergence date",Emergence time,Emer,"Emer, Em, E",yyyymmdd,Emergence time is when the first leaf appears above the soil surface.
CO_321:0001123,Emer_dto_day,"DTE_days, DTE, Days to emergence",Emergence time,Emer,"Emer, Em, E",day,Emergence time is when the first leaf appears above the soil surface.
CO_321:0001124,PherpResp_E_1to8,PHPRP_1_8__RESP,Eyespot plant response,PherpResp,PHPRP,1-8 generic disease field response scale,Eye spot response in the plants caused by the fungal species Tapesia yallundae (Pseudocercosporella herpotrichoide w-type) and Tapesia acuformis (Pseudocercosporella herpotrichoides r-type). Symptoms: the eye shape elliptical lesions forms on lower base of stem and lower leaf sheath. The eyespots are straw yellow in color from the middle and are surrounded by the greenish brown to dark brown rings.
CO_321:0001125,FND_date_ymd,"FNDD_yyyymmdd, FNDD",First node detectable time,FND,,yyyymmdd,"First node detectable time is when the stem starts the elongation or jointing period, first node becomes visible as it appears above the soil surface."
CO_321:0001126,FND_dto_day,"DTFND_days, DTFND, FND",First node detectable time,FND,,day,"First node detectable time is when the stem starts the elongation or jointing period, first node becomes visible as it appears above the soil surface."
CO_321:0001127,FLeafA_M_cm2,FLEAFA _cm2,Flag leaf area,FLeafA,,cm2,Area of the flag leaf lamina.
CO_321:0001128,FLeafSen_E_pct,FLEAFSEN_pct,Flag leaf senescence,FLeafSen,FlagSen,%,Flag leaf senescence.
CO_321:0001129,UagroResp_E_1to8,UAGRO_1_8__RESP,Flag smut plant response,UagroResp,UAGRO,1-8 generic disease field response scale,Flag smut disease response in the plants caused by the agent Urocystic agropyri causing flag smut disease.
CO_321:0001130,FlrCol_M_avalue,FLRCOL_a_value,Flour color,FlrCol,,a value,Flour color.
CO_321:0001131,FlrCol_M_bvalue,FLRCOL_b_value,Flour color,FlrCol,,b value,Flour color.
CO_321:0001132,FlrCol_M_Lvalue,FLRCOL_L_value,Flour color,FlrCol,,L value,Flour color.
CO_321:0001133,FlrFN_M_s,FLRFN _s,Flour falling number,FlrFN,,s,The falling number is defined as the time in seconds required stirring and allowing stirrer to fall a measured distance through a hot aqueous flour or meal gel undergoing liquefaction due to a-amylase activity.
CO_321:0001134,FLRGluCon_M_pct,GLUCON_pct,Flour gluten content,FLRGluCon,,%,Content of wet gluten in flour.
CO_321:0001135,GluTyp_E_1to5,GLUTYP_1_5,Flour gluten type,GluTyp,,1-5 GLUTYP scale,Gluten type whether weak-tenacious/tenacious/weak/medium strong/strong.
CO_321:0001136,FlrProt_Kjl_pct,FLRPROT_pct,Flour protein content,FlrProt,FlrPro,%,Total protein content (corrected to 12.5% moisture basis) in refined flour.
CO_321:0001137,FlrProt_NIRS_pct,FLRPROT_pct,Flour protein content,FlrProt,FlrPro,%,Total protein content (corrected to 12.5% moisture basis) in refined flour.
CO_321:0001138,FlrSDS_M_ml,FLRSDS_ml,Flour SDS sedimentation,FlrSDS,,ml,"Testing of refined flour quality by sds-sedimentation, a test estimating gluten-protein overall quality."
CO_321:0001139,SedIdx_M_mlpct,SEDINDX_ml_pct,Flour SDS sedimentation index,SedIdx,SEDINDX,ml/%,Is the result of dividing sedimentation volume by flour protein content.
CO_321:0001140,FlrYellCls_M_1to3,FLRYELLCLS_1_3,Flour yellowness,FlrYellCls,,1-3 FLRYELLCLS scale,Flour yellowness.
CO_321:0001141,FlrYld_M_pct,"FLRYLD, FLRYD",Flour yield,FlrYld,FlrYd,%,Proportion of flour recovered during milling.
CO_321:0001142,FolDis_E_1to5,"FOLDIS_1_5, FoliarDis_N_T_S_M_V",Foliar disease development,FolDis,,1-5 DMG scale,The plant damage caused by foliar diseases.
CO_321:0001143,FrostDmg_E_0to9,FROSTDMGP_0_9,Frost damage,FrostDmg,DMPFRO,0-9 DAMAGE scale,Plant damage caused by frost.
CO_321:0001144,FrostDmg_E_0to9text,FROSTDMGP_0_9text,Frost damage,FrostDmg,DMPFRO,0-9 DAMAGE scale + text,Plant damage caused by frost.
CO_321:0001145,FrostDmg_E_pct,FROSTDMGP_pct,Frost damage,FrostDmg,DMPFRO,%,Plant damage caused by frost.
CO_321:0001146,FrostDmg_E_1to5,"FROSTDMG_1_5__SPK, FrostDmg_N_T_S_M_V",Frost damage,FrostDmg,DMPFRO,1-5 DMG scale,Plant damage caused by frost.
CO_321:0001147,FrostDmg_E_1to9,FROSTDMGP_1_9,Frost damage,FrostDmg,DMPFRO,1-9 incidence scale,Plant damage caused by frost.
CO_321:0001148,FgramInc_E_0to9pcttext,FGRAM_0_9text__INC,Fusarium graminearum incidence,FgramInc,FGRAML,0-9 percentage scale + text,Fusarium graminearum incidence in the plants.
CO_321:0001149,FgramInc_E_pct,FGRAM_pct__INC,Fusarium graminearum incidence,FgramInc,FGRAML,%,Fusarium graminearum incidence in the plants.
CO_321:0001150,FgramResp_E_0to5,FGRAM_0_5__RESP,Fusarium graminearum plant response,FgramResp,FGRAML,0-5 FHB field response scale,Fusarium graminearum response in the plants.
CO_321:0001151,FgramSev_E_00to99text,FGRAM_00_99text__SEV,Fusarium graminearum severity,FgramSev,FGRAML,Double digit (00-99) + text,Fusarium graminearum severity in the plants.
CO_321:0001152,FgramSev_E_00to99,FGRAM_00_99__SEV,Fusarium graminearum severity,FgramSev,FGRAML,Double digit (00-99),Fusarium graminearum severity in the plants.
CO_321:0001153,FHBAUDPC_Calc_pct,FHB_pct__AUDPC,Fusarium head blight AUDPC,FHBAUDPC,,%,Fusarium head blight (scab) incidence/severity/response in the plants caused by the agent fusarium spp.
CO_321:0001154,FHBDON_M_ppm,FHB_ppm__DON,Fusarium head blight DON content,FHBDON,,ppm,Content of deoxynivalenol or don (vomitoxin) that is often associated with fhb (fusarium spp.) infected grains.
CO_321:0001155,FHBGInc_E_pct,FHB_pct__GRNINC,Fusarium head blight grain incidence,FHBGInc,,%,Fusarium head blight (scab) incidence in the plants caused by the agent fusarium spp.
CO_321:0001156,FHBSpkInc_E_0to9pcttext,FHB_0_9text__SPKINC,Fusarium head blight spike incidence,FHBSpkInc,,0-9 percentage scale + text,Fusarium head blight (scab) incidence in spikes caused by the agent fusarium spp.
CO_321:0001157,FHBSpkInc_E_pct,FHB_pct__SPKINC,Fusarium head blight spike incidence,FHBSpkInc,,%,Fusarium head blight (scab) incidence in spikes caused by the agent fusarium spp.
CO_321:0001158,FHBSpkResp_E_0to5,FHB_0_5__SPKRESP,Fusarium head blight spike response,FHBSpkResp,,0-5 FHB field response scale,Fusarium head blight (scab) spike response caused by the agent fusarium spp.
CO_321:0001159,FHBSpkResp_E_1to8,FHB_1_8__SPKRESP,Fusarium head blight spike response,FHBSpkResp,,1-8 generic disease field response scale,Fusarium head blight (scab) spike response caused by the agent fusarium spp.
CO_321:0001160,FHBSpkWt_Calc_pct,FHB_pct__SPKW,Fusarium head blight spike weight,FHBSpkWt,,%,Fusarium head blight (scab) incidence/severity/response in the plants caused by the agent fusarium spp.
CO_321:0001161,FHBSplInc_Calc_Idx,FHB_index__SPLINC,Fusarium head blight spikelet incidence,FHBSplInc,,index,Fusarium head blight (scab) spikelets incidence caused by the agent fusarium spp.
CO_321:0001162,FHBSplInc_Ct_SplInfect,FHB_num__SPLINC,Fusarium head blight spikelet incidence,FHBSplInc,,spikelet,Fusarium head blight (scab) spikelets incidence caused by the agent fusarium spp.
CO_321:0001163,FnivLBInc_E_0to9pcttext,FNIVLB_0_9text__INC,Fusarium leaf blotch incidence,FnivLBInc,,0-9 percentage scale + text,"Fusarium leaf blotch (pink snow mold, fusarium patch) incidence in the plants caused by the agent Calonectria nivalis (fusarium nivale)."
CO_321:0001164,FnivLBInc_E_pct,FNIVLB_pct__INC,Fusarium leaf blotch incidence,FnivLBInc,,%,"Fusarium leaf blotch (pink snow mold, fusarium patch) incidence in the plants caused by the agent Calonectria nivalis (fusarium nivale)."
CO_321:0001165,FnivLBSev_E_00to99text,FNIVLB_00_99text__SEV,Fusarium leaf blotch severity,FnivLBSev,,Double digit (00-99) + text,"Fusarium leaf blotch (pink snow mold, fusarium patch) severity in the plants caused by the agent Calonectria nivalis (fusarium nivale)."
